par_index,delta_t_ms,peso_W,conductancia_uS
0,0.0,0.006211180124223603,124.22360248447205
1,5.0,0.04347062097489763,494.4892959380452
2,6.842105263157895,0.07690371422240751,826.7306600851746
3,8.684210526315791,0.10690340553759455,1124.8525925298459
4,10.526315789473685,0.13382228714821368,1392.3589785353734
5,12.36842105263158,0.1579767419242098,1632.393872871835
6,14.210526315789476,0.1796506618873439,1847.7784525054801
7,16.05263157894737,0.1990987848495386,2041.0441744422901
8,17.894736842105264,0.2165496883961046,2214.4625284362896
9,19.73684210526316,0.23220847640271763,2370.0717342520065
10,21.578947368421055,0.24625918966130406,2509.7006972592094
11,23.42105263157895,0.2588669689473919,2634.990503914707
12,25.263157894736846,0.2701799959518799,2747.4137097718067
13,27.10526315789474,0.28033123488937467,2848.2916467131613
14,28.947368421052634,0.2894399952525586,2938.809952822301
15,30.78947368421053,0.2976133340799458,3020.032507419461
16,32.63157894736842,0.3049473142181524,3092.9139350428895
17,34.473684210526315,0.3115281333672839,3158.310825337384
18,36.31578947368421,0.31743313717932936,3216.9918007195856
19,38.1578947368421,0.3227317283167067,3269.646550147273
20,40.0,0.32748618215530106,3316.8939351683043
21,-5.0,0.3059051022325209,3102.4319534356764
22,-6.842105263157895,0.2854621654182108,2899.28026884347
23,-8.684210526315791,0.26609734831502496,2706.8423988805607
24,-10.526315789473685,0.247753793039868,2524.5533183336884
25,-12.36842105263158,0.23037764028098748,2351.877800292313
26,-14.210526315789476,0.21391787115930244,2188.308844645568
27,-16.05263157894737,0.19832615742964996,2033.3661894571467
28,-17.894736842105264,0.18355671958211917,1886.5949008473092
29,-19.73684210526316,0.1695661924268379,1747.5640372417017
30,-21.578947368421055,0.15631349776754955,1615.8653840650236
31,-23.42105263157895,0.14375972379013152,1491.112255164432
32,-25.263157894736846,0.1318680108119227,1372.938357443482
33,-27.10526315789474,0.12060344305640344,1260.9967153730092
34,-28.947368421052634,0.10993294613546302,1154.9586522211637
35,-30.78947368421053,0.09982518993824795,1054.5128250113391
36,-32.63157894736842,0.0902504966414586,959.3643103744948
37,-34.473684210526315,0.08118075357099934,869.2337386118058
38,-36.31578947368421,0.07258933065913148,783.8564734251191
39,-38.1578947368421,0.06445100225477124,702.9818349067892
40,-40.0,0.0567418730573567,626.3723635074822
