V_Volt,I_mA,R_kOhm,G_uS
0.0,0.0,14.41,69.39625260235948
0.015726974411932305,0.0010913930889612981,14.41,69.39625260235948
0.031450058709247844,0.0021825188468303277,14.409982646849885,69.3963361724524
0.04716536373956145,0.0032731113200572593,14.409947944800223,69.39650329277188
0.06286900227471312,0.004362904680286174,14.409895902330232,69.39675392369
0.0785570899722857,0.00545163328628825,14.409826532145814,69.39708800582534
0.09422574633640868,0.006539031745858693,14.409739851176564,69.39750546005516
0.10987109567761047,0.007624834977665691,14.409635880571807,69.39800618753164
0.12548926807148214,0.00870877827303973,14.409514645695657,69.398590069702
0.14107640031591462,0.009790597357691524,14.40937617612112,69.39925696833265
0.1566286368866736,0.01087002845334694,14.40922050562313,69.40000672553762
0.1721421308910751,0.011946808339287138,14.409047672170722,69.40083916381062
0.1876130450195258,0.013020674413782272,14.408857717918128,69.40175408606127
0.20303755249469338,0.014091364755407062,14.408650689194948,69.40275127565556
0.21841183801807132,0.015158618184226473,14.408426636495339,69.40383049645988
0.23373209871370465,0.01622217432283988,14.408185614466209,69.4049914928895
0.24899454506884255,0.0172817736572719,14.407927681894476,69.4062339899607
0.264195401871286,0.018337157597698318,14.407652901693325,69.40755769334716
0.27933090914319786,0.019388068538995256,14.407361340887523,69.40896228944015
0.29439732307114463,0.020434249921099934,14.407053070597751,69.41044744541291
0.3093909169321402,0.02147544628917132,14.406728166024006,69.4120128092888
0.32430798201546196,0.022511403353538916,14.406386706428009,69.4136580100136
0.3391448285400115,0.023541868049427903,14.406028775114688,69.41538265753178
0.3538977865669931,0.024566588596449022,14.405654459412702,69.41718634286667
0.36856320690768457,0.025585314557841392,14.405263850654016,69.41906863820469
0.3831374620260744,0.02659779689945647,14.40485704415255,69.42102909698336
0.39761694693614447,0.027603788048471623,14.404434139181847,69.42306725398369
0.41199808009357364,0.028603041951821218,14.403995238951877,69.42518262542595
0.426277304281644,0.029595314134333927,14.403540450584842,69.42737470906995
0.44045108749112905,0.030580361756564065,14.403069885090106,69.42964298431883
0.45451592379394634,0.03155794367230553,14.402583657338177,69.43198691232706
0.4684683342103602,0.032527820485776474,14.40208188603379,69.43440593611231
0.4823048675695175,0.03348975460846297,14.401564693688064,69.4368994806711
0.496022101363105,0.03444351031560985,14.40103220658979,69.43946695309857
0.5096166425919174,0.03538885380234711,14.400484554775772,69.44210774271205
0.5230851286051257,0.03632555323944013,14.399921872000311,69.44482122117853
0.5364242279320394,0.037253378828651734,14.399344295703807,69.44760674264593
0.5496306411061554,0.03817210285770474,14.39875196698043,69.4504636438786
0.5627011014812913,0.0390814997548328,14.398145030544992,69.45339124439619
0.5756323760395999,0.039981346142908325,14.397523634698892,69.45638884661668
0.5884212661912667,0.04087142089313529,14.39688793129522,69.45945573600326
0.6010646085656894,0.0417515051782955,14.39623807570302,69.46259118121499
0.613559275793949,0.04262138252553659,14.395574226770684,69.46579443426113
0.6259021772823715,0.04348083886868982,14.394896546788528,69.46906473065957
0.6380902599769984,0.044329662600106436,14.394205201450514,69.47240128959876
0.6501205091187664,0.04516764462200039,14.393500359815173,69.47580331410371
0.6619899489892186,0.04599457839728624,14.392782194265685,69.47926999120546
0.6736956436465572,0.0468102599999004,14.392050880469167,69.48280049211449
0.685234697651857,0.04761448816459387,14.391306597335168,69.48639397239786
0.6966042567852612,0.048407064336185385,14.39054952697335,69.49004957215988
0.707801508751982,0.04918779271826308,14.389779854650406,69.49376641622672
0.7188236838779293,0.049956480321322994,14.388997768746185,69.49754361433452
0.7296680557947984,0.05071293701033326,14.388203460709077,69.50138026132124
0.7403319421144453,0.051456975551712185,14.387397125010613,69.50527543732218
0.7508127050923834,0.05218841165970895,14.386578959099339,69.50922820796892
0.7611077522802381,0.052907064042175364,14.38574916335395,69.5132376245921
0.7712145371669958,0.05361275444571738,14.38490794103568,69.51730272442762
0.7811305598088923,0.054305307700215015,14.384055498239992,69.52142253082646
0.7908533674477802,0.054984551762699264,14.383192043847558,69.52559605346799
0.8003805551178268,0.05565031776057489,14.382317789474532,69.52982228857672
0.8097097662403896,0.056302440034177864,14.381432949422138,69.5341002191427
0.8188386932069228,0.05694075617865601,14.380537740625595,69.53842881514507
0.8277650779497717,0.05756510708516228,14.379632382602354,69.54280703377933
0.836486712500712,0.058175336981349,14.378717097399702,69.54723381968782
0.8450014395370983,0.05877129347115267,14.377792109541696,69.55170810519361
0.853307152915483,0.05935282757385777,14.376857645975505,69.55622881053765
0.8614017981925783,0.05991979376242941,14.375913936017081,69.56079484411931
0.8692833731334293,0.0604720500011034,14.37496121129626,69.56540510274012
0.8769499282066715,0.06100945778222339,14.373999705701243,69.57005847185069
0.8843995670667543,0.06153188216231438,14.373029655322503,69.57475382580095
0.8916304470230075,0.06203919179738183,14.372051298396121,69.57949002809342
0.8986407794954365,0.06253125897742633,14.371064875246544,69.58426593163956
0.9054288304571327,0.06300795966016293,14.370070628228804,69.58908037901939
0.9119929208631907,0.06346917350393534,14.369068801670208,69.59393220274397
0.9183314270660248,0.0639147838998143,14.368059641811495,69.59882022552087
0.9244427812169831,0.06434467800287044,14.367043396747487,69.6037432605227
0.9303254716541599,0.06475874676261162,14.36602031636724,69.60870011165845
0.9359780432763098,0.0651568849525745,14.364990652293718,69.61368957384778
0.9413990979027709,0.065538991199061,14.36395465782297,69.61871043329805
0.9465872946193098,0.06590496800900986,14.362912587862906,69.62376146778406
0.9515413501097999,0.06625472179699368,14.361864698871562,69.62884144693076
0.9562600389736544,0.06658816291133231,14.36081124879499,69.63394913249832
0.9607421940289321,0.06690520565931296,14.359752497004699,69.63908327867001
0.9649867066010441,0.06720576833150835,14.358688704234716,69.64424263234262
0.9689925267969869,0.06748977322518361,14.357620132518244,69.64942593341935
0.9727586637650372,0.06775714666678317,14.356547045123966,69.65463191510513
0.9762841859398422,0.06800781903348924,14.355469706491961,69.6598593042045
0.9795682212728449,0.06824172477384273,14.35438838216933,69.66510682142165
0.9826099574479877,0.06845880242741907,14.353303338745427,69.67037318166277
0.9854086420826416,0.0686589946435502,14.352214843786829,69.67565709434086
0.9879635829137099,0.06884224819908467,14.351123165772,69.68095726368232
0.9902741479688623,0.06900851401517867,14.35002857402563,69.686272389036
0.9923397657228542,0.06915774717310927,14.348931338652791,69.691601165184
0.9941599252388961,0.06928990692910363,14.347831730472741,69.69694228265467
0.9957341762950345,0.06940495672817587,14.346730020952565,69.70229442803748
0.9970621294955166,0.06950286421696515,14.345626482140588,69.70765628429945
0.9981434563671079,0.06958360125556788,14.344521386599537,69.71302653110384
0.9989778894403407,0.0696471439283574,14.343415007339575,69.7184038451301
