t_s,V_in_V,I_sim_A,x_sim,R_sim_ohm,G_sim_S,P_sim_W
0.124002,0.379785,2.685015e-05,0.116718,14144.19,7.070040e-05,1.019729e-05
0.126002,0.385590,2.727714e-05,0.117259,14135.58,7.074346e-05,1.051780e-05
0.128002,0.391380,2.770384e-05,0.117809,14126.84,7.078726e-05,1.084273e-05
0.130002,0.397154,2.813025e-05,0.118368,14117.95,7.083179e-05,1.117204e-05
0.132002,0.402913,2.855635e-05,0.118935,14108.94,7.087705e-05,1.150572e-05
0.134002,0.408655,2.898215e-05,0.119510,14099.79,7.092306e-05,1.184371e-05
0.136002,0.414382,2.940764e-05,0.120094,14090.50,7.096981e-05,1.218600e-05
0.138002,0.420092,2.983281e-05,0.120687,14081.08,7.101730e-05,1.253254e-05
0.140002,0.425786,3.025767e-05,0.121288,14071.52,7.106554e-05,1.288329e-05
0.142002,0.431463,3.068220e-05,0.121898,14061.83,7.111452e-05,1.323823e-05
0.144002,0.437123,3.110641e-05,0.122516,14052.00,7.116426e-05,1.359731e-05
0.146002,0.442765,3.153028e-05,0.123142,14042.04,7.121475e-05,1.396051e-05
0.148002,0.448390,3.195381e-05,0.123777,14031.94,7.126599e-05,1.432777e-05
0.150003,0.453997,3.237700e-05,0.124421,14021.71,7.131800e-05,1.469908e-05
0.152003,0.459587,3.279985e-05,0.125073,14011.34,7.137076e-05,1.507438e-05
0.154003,0.465158,3.322234e-05,0.125733,14000.84,7.142429e-05,1.545365e-05
0.156003,0.470711,3.364448e-05,0.126402,13990.20,7.147859e-05,1.583683e-05
0.158003,0.476245,3.406626e-05,0.127080,13979.43,7.153365e-05,1.622390e-05
0.160003,0.481761,3.448767e-05,0.127765,13968.53,7.158949e-05,1.661482e-05
0.162003,0.487258,3.490872e-05,0.128460,13957.49,7.164610e-05,1.700953e-05
0.164003,0.492735,3.532938e-05,0.129162,13946.32,7.170349e-05,1.740802e-05
0.166003,0.498193,3.574967e-05,0.129873,13935.02,7.176166e-05,1.781022e-05
0.168003,0.503631,3.616958e-05,0.130593,13923.58,7.182062e-05,1.821611e-05
0.170003,0.509049,3.658910e-05,0.131320,13912.01,7.188036e-05,1.862565e-05
0.172003,0.514447,3.700822e-05,0.132057,13900.30,7.194089e-05,1.903878e-05
0.174003,0.519825,3.742695e-05,0.132801,13888.46,7.200221e-05,1.945547e-05
0.176003,0.525182,3.784528e-05,0.133554,13876.49,7.206433e-05,1.987568e-05
0.178003,0.530519,3.826320e-05,0.134315,13864.39,7.212724e-05,2.029936e-05
0.180003,0.535835,3.868071e-05,0.135085,13852.15,7.219096e-05,2.072647e-05
0.182003,0.541129,3.909780e-05,0.135863,13839.78,7.225549e-05,2.115697e-05
0.184003,0.546402,3.951448e-05,0.136649,13827.28,7.232082e-05,2.159081e-05
0.186003,0.551654,3.993072e-05,0.137444,13814.64,7.238697e-05,2.202794e-05
0.188003,0.556884,4.034654e-05,0.138247,13801.87,7.245393e-05,2.246834e-05
0.190003,0.562092,4.076193e-05,0.139058,13788.97,7.252171e-05,2.291194e-05
0.192003,0.567277,4.117687e-05,0.139878,13775.94,7.259031e-05,2.335870e-05
0.194003,0.572440,4.159138e-05,0.140706,13762.78,7.265974e-05,2.380859e-05
0.196003,0.577581,4.200543e-05,0.141542,13749.48,7.273000e-05,2.426154e-05
0.198003,0.582699,4.241903e-05,0.142386,13736.06,7.280109e-05,2.471753e-05
0.200003,0.587794,4.283218e-05,0.143239,13722.50,7.287302e-05,2.517649e-05
0.202003,0.592865,4.324486e-05,0.144100,13708.81,7.294579e-05,2.563838e-05
0.204003,0.597914,4.365708e-05,0.144969,13694.99,7.301941e-05,2.610316e-05
0.206003,0.602938,4.406883e-05,0.145847,13681.04,7.309387e-05,2.657078e-05
