G_11_S,I_sim_A,I_ideal_A,error_A
6.25e-05,3.125e-05,3.125e-05,0.0
8.4375e-05,4.21875e-05,4.21875e-05,0.0
0.00010625000000000001,5.3125e-05,5.3125000000000004e-05,-6.776263578034403e-21
0.00012812499999999998,6.406249999999998e-05,6.406249999999999e-05,-1.3552527156068805e-20
0.00015000000000000001,7.5e-05,7.500000000000001e-05,-1.3552527156068805e-20
0.000171875,8.59375e-05,8.59375e-05,0.0
0.00019375,9.687500000000004e-05,9.6875e-05,4.0657581468206416e-20
0.000215625,0.00010781250000000001,0.0001078125,1.3552527156068805e-20
0.0002375,0.00011875000000000001,0.00011875,1.3552527156068805e-20
0.000259375,0.00012968750000000003,0.0001296875,2.710505431213761e-20
0.00028125000000000003,0.00014062500000000002,0.00014062500000000002,0.0
0.000303125,0.00015156249999999992,0.0001515625,-8.131516293641283e-20
0.000325,0.0001624999999999999,0.0001625,-8.131516293641283e-20
0.000346875,0.00017343749999999995,0.0001734375,-5.421010862427522e-20
0.00036875,0.00018437500000000002,0.000184375,2.710505431213761e-20
0.000390625,0.00019531250000000004,0.0001953125,2.710505431213761e-20
0.0004125,0.00020625000000000003,0.00020625,2.710505431213761e-20
0.000434375,0.00021718749999999993,0.0002171875,-5.421010862427522e-20
0.00045625,0.00022812499999999995,0.000228125,-5.421010862427522e-20
0.000478125,0.00023906249999999996,0.0002390625,-2.710505431213761e-20
0.0005,0.00025000000000000006,0.00025,5.421010862427522e-20
