delta_t_ms,delta_w_hebbian,delta_w_anti_hebbian
-80.0,-0.002377226919297172,0.002377226919297172
-75.0,-0.0027538322083547145,0.0027538322083547145
-70.0,-0.0031901000994948732,0.0031901000994948732
-65.0,-0.0036954824676400074,0.0036954824676400074
-60.0,-0.004280928573619705,0.004280928573619705
-55.0,-0.004959122283195986,0.004959122283195986
-50.0,-0.0057447568668254215,0.0057447568668254215
-45.0,-0.006654853333777651,0.006654853333777651
-40.0,-0.007709129197414536,0.007709129197414536
-35.0,-0.008930425661040565,0.008930425661040565
-30.0,-0.010345202479434254,0.010345202479434254
-25.0,-0.011984111217384272,0.011984111217384272
-20.000000000000004,-0.013882659325048763,0.013882659325048763
-15.0,-0.01608197941752993,0.01608197941752993
-9.999999999999995,-0.01862972042533701,0.01862972042533701
-5.000000000000004,-0.021581079922780168,0.021581079922780168
0.0,0.0,0.0
5.000000000000004,0.03725944085067402,-0.03725944085067402
9.999999999999995,0.027765318650097535,-0.027765318650097535
15.0,0.020690404958868508,-0.020690404958868508
20.000000000000004,0.015418258394829071,-0.015418258394829071
24.999999999999993,0.011489513733650845,-0.011489513733650845
30.0,0.00856185714723941,-0.00856185714723941
35.0,0.0063802001989897465,-0.0063802001989897465
39.99999999999999,0.0047544538385943455,-0.0047544538385943455
45.0,0.0035429658315273204,-0.0035429658315273204
50.0,0.002640178516715026,-0.002640178516715026
55.00000000000001,0.0019674315055752756,-0.0019674315055752756
60.000000000000014,0.0014661079561946906,-0.0014661079561946906
64.99999999999999,0.0010925272534907746,-0.0010925272534907746
69.99999999999999,0.0008141390915837769,-0.0008141390915837769
75.0,0.0006066873465417445,-0.0006066873465417445
80.0,0.00045209662606648964,-0.00045209662606648964
