t_ms,V_ltp_V,I_ltp_uA,R_ltp_kOhm,G_ltp_uS,V_ltd_V,I_ltd_uA,R_ltd_kOhm,G_ltd_uS
0.0,1.0,69.39625260235948,14.41,69.39625260235948,-1.0,-69.39625260235948,14.41,69.39625260235948
0.1,1.0,69.4015668090017,14.408896599583622,69.4015668090017,-1.0,-69.39093920949227,14.411103400416376,69.39093920949227
0.2,1.0,69.40688223664918,14.40779311467136,69.40688223664918,-1.0,-69.38562703694488,14.412206716349809,69.38562703694488
0.30000000000000004,1.0,69.4121988857696,14.406689545243797,69.4121988857696,-1.0,-69.38031608425032,14.413309947819695,69.38031608425032
0.4,1.0,69.41751675683082,14.405585891281511,69.41751675683082,-1.0,-69.37500635094173,14.414413094845436,69.37500635094173
0.5,0.0,0.0,14.404482152765079,69.42283585030097,0.0,0.0,14.415516157446415,69.36969783655263
0.6000000000000001,0.0,0.0,14.404482152765079,69.42283585030097,0.0,0.0,14.415516157446415,69.36969783655263
0.7,0.0,0.0,14.404482152765079,69.42283585030097,0.0,0.0,14.415516157446415,69.36969783655263
0.8,0.0,0.0,14.404482152765079,69.42283585030097,0.0,0.0,14.415516157446415,69.36969783655263
0.9000000000000001,0.0,0.0,14.404482152765079,69.42283585030097,0.0,0.0,14.415516157446415,69.36969783655263
1.0,1.0,69.42283585030097,14.404482152765079,69.42283585030097,-1.0,-69.36969783655263,14.415516157446415,69.36969783655263
1.1,1.0,69.42815616664845,14.403378329675059,69.42815616664845,-1.0,-69.36439054061664,14.416619135642017,69.36439054061664
1.2000000000000002,1.0,69.43347770634188,14.40227442199201,69.43347770634188,-1.0,-69.35908446266777,14.417722029451612,69.35908446266777
1.3000000000000003,1.0,69.43880046985015,14.40117042969648,69.43880046985015,-1.0,-69.35377960224017,14.418824838894569,69.35377960224017
1.4,1.0,69.44412445764242,14.40006635276901,69.44412445764242,-1.0,-69.34847595886832,14.419927563990244,69.34847595886832
1.5,0.0,0.0,14.398962191190133,69.44944967018807,0.0,0.0,14.42103020475799,69.3431735320869
1.6,0.0,0.0,14.398962191190133,69.44944967018807,0.0,0.0,14.42103020475799,69.3431735320869
1.7000000000000002,0.0,0.0,14.398962191190133,69.44944967018807,0.0,0.0,14.42103020475799,69.3431735320869
1.8000000000000003,0.0,0.0,14.398962191190133,69.44944967018807,0.0,0.0,14.42103020475799,69.3431735320869
1.9,0.0,0.0,14.398962191190133,69.44944967018807,0.0,0.0,14.42103020475799,69.3431735320869
2.0,1.0,69.44944967018807,14.398962191190133,69.44944967018807,-1.0,-69.3431735320869,14.42103020475799,69.3431735320869
2.1,1.0,69.45477610795675,14.397857944940375,69.45477610795675,-1.0,-69.33787232143088,14.42213276121715,69.33787232143088
2.2,1.0,69.46010377141835,14.396753614000259,69.46010377141835,-1.0,-69.33257232643541,14.423235233387063,69.33257232643541
2.3,1.0,69.46543266104301,14.395649198350293,69.46543266104301,-1.0,-69.32727354663598,14.424337621287052,69.32727354663598
2.4000000000000004,1.0,69.47076277730113,14.394544697970984,69.47076277730113,-1.0,-69.32197598156826,14.425439924936443,69.32197598156826
2.5,0.0,0.0,14.393440112842823,69.47609412066339,0.0,0.0,14.42654214435455,69.3166796307682
2.6000000000000005,0.0,0.0,14.393440112842823,69.47609412066339,0.0,0.0,14.42654214435455,69.3166796307682
2.7,0.0,0.0,14.393440112842823,69.47609412066339,0.0,0.0,14.42654214435455,69.3166796307682
2.8,0.0,0.0,14.393440112842823,69.47609412066339,0.0,0.0,14.42654214435455,69.3166796307682
2.9000000000000004,0.0,0.0,14.393440112842823,69.47609412066339,0.0,0.0,14.42654214435455,69.3166796307682
3.0,1.0,69.47609412066339,14.393440112842823,69.47609412066339,-1.0,-69.3166796307682,14.42654214435455,69.3166796307682
3.1000000000000005,1.0,69.48142669160067,14.392335442946305,69.48142669160067,-1.0,-69.31138449377197,14.42764427956068,69.31138449377197
3.2,1.0,69.48676049058417,14.391230688261906,69.48676049058417,-1.0,-69.30609057011604,14.42874633057413,69.30609057011604
3.3,1.0,69.49209551808525,14.39012584877011,69.49209551808525,-1.0,-69.30079785933707,14.429848297414193,69.30079785933707
3.4000000000000004,1.0,69.4974317745756,14.38902092445137,69.4974317745756,-1.0,-69.29550636097196,14.430950180100158,69.29550636097196
3.5,0.0,0.0,14.387915915286156,69.50276926052716,0.0,0.0,14.432051978651298,69.29021607455796
3.6000000000000005,0.0,0.0,14.387915915286156,69.50276926052716,0.0,0.0,14.432051978651298,69.29021607455796
3.7,0.0,0.0,14.387915915286156,69.50276926052716,0.0,0.0,14.432051978651298,69.29021607455796
3.8,0.0,0.0,14.387915915286156,69.50276926052716,0.0,0.0,14.432051978651298,69.29021607455796
3.9000000000000004,0.0,0.0,14.387915915286156,69.50276926052716,0.0,0.0,14.432051978651298,69.29021607455796
4.0,1.0,69.50276926052716,14.387915915286156,69.50276926052716,-1.0,-69.29021607455796,14.432051978651298,69.29021607455796
4.1000000000000005,1.0,69.50810797641208,14.386810821254912,69.50810797641208,-1.0,-69.28492699963243,14.433153693086883,69.28492699963243
4.2,1.0,69.51344792270277,14.385705642338088,69.51344792270277,-1.0,-69.27963913573309,14.434255323426179,69.27963913573309
4.3,1.0,69.51878909987194,14.384600378516119,69.51878909987194,-1.0,-69.27435248239786,14.435356869688436,69.27435248239786
4.4,1.0,69.52413150839251,14.383495029769431,69.52413150839251,-1.0,-69.26906703916487,14.436458331892906,69.26906703916487
4.500000000000001,0.0,0.0,14.382389596078447,69.5294751487377,0.0,0.0,14.43755971005883,69.26378280557256
4.6,0.0,0.0,14.382389596078447,69.5294751487377,0.0,0.0,14.43755971005883,69.26378280557256
4.7,0.0,0.0,14.382389596078447,69.5294751487377,0.0,0.0,14.43755971005883,69.26378280557256
4.800000000000001,0.0,0.0,14.382389596078447,69.5294751487377,0.0,0.0,14.43755971005883,69.26378280557256
4.8999999999999995,0.0,0.0,14.382389596078447,69.5294751487377,0.0,0.0,14.43755971005883,69.26378280557256
5.0,1.0,69.5294751487377,14.382389596078447,69.5294751487377,-1.0,-69.26378280557256,14.43755971005883,69.26378280557256
5.1000000000000005,1.0,69.53482002138094,14.381284077423581,69.53482002138094,-1.0,-69.2584997811596,14.438661004205436,69.2584997811596
5.200000000000001,1.0,69.54016612679591,14.38017847378524,69.54016612679591,-1.0,-69.25321796546488,14.439762214351958,69.25321796546488
5.3,1.0,69.54551346545657,14.379072785143826,69.54551346545657,-1.0,-69.24793735802757,14.440863340517607,69.24793735802757
5.4,1.0,69.55086203783715,14.377967011479724,69.55086203783715,-1.0,-69.24265795838703,14.441964382721602,69.24265795838703
5.500000000000001,0.0,0.0,14.376861152773321,69.55621184441212,0.0,0.0,14.443065340983141,69.23737976608295
5.6,0.0,0.0,14.376861152773321,69.55621184441212,0.0,0.0,14.443065340983141,69.23737976608295
5.7,0.0,0.0,14.376861152773321,69.55621184441212,0.0,0.0,14.443065340983141,69.23737976608295
5.800000000000001,0.0,0.0,14.376861152773321,69.55621184441212,0.0,0.0,14.443065340983141,69.23737976608295
5.8999999999999995,0.0,0.0,14.376861152773321,69.55621184441212,0.0,0.0,14.443065340983141,69.23737976608295
6.0,1.0,69.55621184441212,14.376861152773321,69.55621184441212,-1.0,-69.23737976608295,14.443065340983141,69.23737976608295
6.1000000000000005,1.0,69.56156288565614,14.375755209004998,69.56156288565614,-1.0,-69.23210278065521,14.44416621532142,69.23210278065521
6.200000000000001,1.0,69.56691516204427,14.374649180155116,69.56691516204427,-1.0,-69.22682700164391,14.445267005755634,69.22682700164391
6.3,1.0,69.57226867405168,14.373543066204038,69.57226867405168,-1.0,-69.22155242858948,14.446367712304959,69.22155242858948
6.4,1.0,69.57762342215389,14.372436867132121,69.57762342215389,-1.0,-69.21627906103251,14.447468334988574,69.21627906103251
6.500000000000001,0.0,0.0,14.371330582919708,69.58297940682665,0.0,0.0,14.448568873825645,69.2110068985139
6.6,0.0,0.0,14.371330582919708,69.58297940682665,0.0,0.0,14.448568873825645,69.2110068985139
6.7,0.0,0.0,14.371330582919708,69.58297940682665,0.0,0.0,14.448568873825645,69.2110068985139
6.800000000000001,0.0,0.0,14.371330582919708,69.58297940682665,0.0,0.0,14.448568873825645,69.2110068985139
6.9,0.0,0.0,14.371330582919708,69.58297940682665,0.0,0.0,14.448568873825645,69.2110068985139
7.0,1.0,69.58297940682665,14.371330582919708,69.58297940682665,-1.0,-69.2110068985139,14.448568873825645,69.2110068985139
7.1000000000000005,1.0,69.58833662854593,14.37022421354714,69.58833662854593,-1.0,-69.20573594057475,14.44966932883533,69.20573594057475
7.200000000000001,1.0,69.593695087788,14.369117758994745,69.593695087788,-1.0,-69.20046618675643,14.450769700036787,69.20046618675643
7.3,1.0,69.59905478502938,14.368011219242849,69.59905478502938,-1.0,-69.19519763660053,14.451869987449156,69.19519763660053
7.4,1.0,69.60441572074686,14.366904594271768,69.60441572074686,-1.0,-69.18993028964893,14.452970191091577,69.18993028964893
7.500000000000001,0.0,0.0,14.365797884061807,69.60977789541742,0.0,0.0,14.454070310983182,69.18466414544368
7.6,0.0,0.0,14.365797884061807,69.60977789541742,0.0,0.0,14.454070310983182,69.18466414544368
7.7,0.0,0.0,14.365797884061807,69.60977789541742,0.0,0.0,14.454070310983182,69.18466414544368
7.800000000000001,0.0,0.0,14.365797884061807,69.60977789541742,0.0,0.0,14.454070310983182,69.18466414544368
7.9,0.0,0.0,14.365797884061807,69.60977789541742,0.0,0.0,14.454070310983182,69.18466414544368
8.0,1.0,69.60977789541742,14.365797884061807,69.60977789541742,-1.0,-69.18466414544368,14.454070310983182,69.18466414544368
8.1,1.0,69.61514130951838,14.36469108859327,69.61514130951838,-1.0,-69.17939920352713,14.455170347143095,69.17939920352713
