Metrica,Valor
LTP maximo,50.0
LTD maximo,-29.903944385046866
Cruce por cero (ms),0.0
Area LTP,559.9852347652281
Area LTD,-315.31358707451136
tau LTP (ms),21.065965781223326
tau LTD (ms),23.485496426203294
Ratio LTP/LTD,1.6720202310502537
