Modelo,μ(Vset),σ(Vset),Min(Vset),Max(Vset),μ(Vreset),σ(Vreset),Min(Vreset),Max(Vreset)
Strukov Ideal (D2D),1.7819999999999998,0.12816395749195633,1.4500000000000002,2.15,-1.4104999999999999,0.1283150419865107,-1.85,-1.1500000000000001
Estocástico (C2C),1.9606382978723405,0.21975231952707183,1.5000000000000002,2.45,-1.2210000000000003,0.14614718608307176,-1.55,-0.9000000000000001
