Delta_t_s,Delta_t_ms,Delta_W_percent
-0.015,-15.0,-13.56403209018519
-0.0147,-14.7,-9.173278988025684
-0.0144,-14.4,-5.47881583479633
-0.0141,-14.1,-1.8910206442567634
-0.0138,-13.799999999999999,3.1586456502993743
-0.0135,-13.5,8.799403967212216
-0.0132,-13.2,13.722781621096281
-0.0129,-12.9,20.682958946614505
-0.0126,-12.6,30.781219021012017
-0.0123,-12.3,50.0
-0.012,-12.0,50.0
-0.0117,-11.700000000000001,50.0
-0.0114,-11.4,50.0
-0.011099999999999999,-11.099999999999998,50.0
-0.0108,-10.8,50.0
-0.010499999999999999,-10.499999999999998,50.0
-0.0102,-10.200000000000001,50.0
-0.009899999999999999,-9.899999999999999,50.0
-0.009600000000000001,-9.600000000000001,50.0
-0.0093,-9.299999999999999,50.0
-0.009000000000000001,-9.000000000000002,50.0
-0.0087,-8.7,50.0
-0.008400000000000001,-8.4,50.0
-0.0081,-8.1,50.0
-0.0078,-7.8,37.19726020300808
-0.0075,-7.5,15.72620110176487
-0.0072,-7.2,2.2154003364726838
-0.0069,-6.8999999999999995,-6.9315484139807815
-0.0066,-6.6,-15.395467561505772
-0.0063,-6.3,-22.885550272228965
-0.006,-6.0,-29.903944385046866
-0.0057,-5.7,-29.903944385046866
-0.0054,-5.4,-29.903944385046866
-0.0051,-5.1000000000000005,-29.903944385046866
-0.0048000000000000004,-4.800000000000001,-29.903944385046866
-0.0045000000000000005,-4.500000000000001,-29.903944385046866
-0.004200000000000001,-4.2,-29.903944385046866
-0.0039000000000000007,-3.900000000000001,-29.903944385046866
-0.0036000000000000008,-3.600000000000001,-29.903944385046866
-0.003300000000000001,-3.3000000000000007,-29.903944385046866
-0.003000000000000001,-3.000000000000001,-29.903944385046866
-0.002700000000000001,-2.700000000000001,-29.903944385046866
-0.002400000000000001,-2.4000000000000012,-29.903944385046866
-0.002100000000000001,-2.100000000000001,-29.903944385046866
-0.0018000000000000013,-1.8000000000000012,-27.469561286053302
-0.0015000000000000013,-1.5000000000000013,-23.656849385219598
-0.0012000000000000014,-1.2000000000000015,-19.353940943448873
-0.0009000000000000015,-0.9000000000000015,-15.060062290858028
-0.0005999999999999998,-0.5999999999999999,-10.77800748973568
-0.0002999999999999999,-0.29999999999999993,-5.824838341585636
0.0,0.0,0.0
0.0002999999999999999,0.29999999999999993,6.544048329128094
0.0005999999999999998,0.5999999999999999,13.20120541824611
0.000899999999999998,0.899999999999998,21.337456478716987
0.0011999999999999997,1.1999999999999997,35.07979734342281
0.0014999999999999979,1.4999999999999978,50.0
0.0017999999999999995,1.7999999999999996,50.0
0.0020999999999999977,2.099999999999998,50.0
0.0023999999999999994,2.3999999999999995,50.0
0.0026999999999999975,2.6999999999999975,50.0
0.002999999999999999,2.999999999999999,50.0
0.0032999999999999974,3.299999999999997,50.0
0.003599999999999999,3.599999999999999,50.0
0.0038999999999999972,3.8999999999999972,50.0
0.004199999999999999,4.199999999999999,50.0
0.0045000000000000005,4.500000000000001,50.0
0.004799999999999999,4.799999999999999,50.0
0.0051,5.1000000000000005,50.0
0.0053999999999999986,5.399999999999999,50.0
0.0057,5.7,50.0
0.005999999999999998,5.999999999999998,50.0
0.0063,6.3,50.0
0.006599999999999998,6.599999999999998,22.4856557066075
0.0069,6.8999999999999995,6.838648300909245
0.007199999999999998,7.199999999999998,-3.0982924005992007
0.0075,7.5,-12.079913885285936
0.007799999999999998,7.799999999999998,-19.921563321393553
0.0081,8.1,-24.95009749703613
0.008399999999999998,8.399999999999999,-24.95009749703613
0.0087,8.7,-24.95009749703613
0.008999999999999998,8.999999999999998,-24.95009749703613
0.0093,9.299999999999999,-24.95009749703613
0.009599999999999997,9.599999999999998,-24.95009749703613
0.009899999999999999,9.899999999999999,-24.95009749703613
0.010199999999999997,10.199999999999998,-24.95009749703613
0.010499999999999999,10.499999999999998,-24.95009749703613
0.010799999999999997,10.799999999999997,-24.95009749703613
0.011099999999999999,11.099999999999998,-24.95009749703613
0.011399999999999997,11.399999999999997,-24.95009749703613
0.011699999999999999,11.7,-24.95009749703613
0.011999999999999997,11.999999999999996,-24.95009749703613
0.012299999999999998,12.299999999999999,-21.806411646681124
0.012599999999999997,12.599999999999996,-18.51680457548434
0.012899999999999998,12.899999999999999,-15.060062290858028
0.013199999999999996,13.199999999999996,-11.408100763632012
0.013499999999999998,13.499999999999998,-7.523562086285257
0.0138,13.799999999999999,-2.9930354322018626
0.014099999999999998,14.099999999999998,1.16074811465946
0.0144,14.4,6.106735385692053
0.014699999999999998,14.699999999999998,12.179323819169607
0.015,15.0,18.79991894678994
